"ID","age","sex","job","education","condition","trial","inflations","exploded"
12,54,"female","working","bachelor","normal_high",17,27,0
12,54,"female","working","bachelor","normal_high",18,29,0
12,54,"female","working","bachelor","normal_high",19,40,0
12,54,"female","working","bachelor","normal_high",20,5,1
12,54,"female","working","bachelor","normal_high",21,35,0
12,54,"female","working","bachelor","normal_high",22,39,0
12,54,"female","working","bachelor","normal_high",23,13,1
12,54,"female","working","bachelor","normal_high",24,33,0
12,54,"female","working","bachelor","normal_high",25,47,0
12,54,"female","working","bachelor","normal_high",26,19,1
12,54,"female","working","bachelor","normal_high",27,14,1
12,54,"female","working","bachelor","normal_high",28,3,0
12,54,"female","working","bachelor","normal_high",29,4,0
12,54,"female","working","bachelor","normal_high",30,2,0
13,30,"female","working","bachelor","normal_low",1,7,0
13,30,"female","working","bachelor","normal_low",2,9,0
13,30,"female","working","bachelor","normal_low",3,12,0
13,30,"female","working","bachelor","normal_low",4,11,0
13,30,"female","working","bachelor","normal_low",5,20,0
13,30,"female","working","bachelor","normal_low",6,29,0
13,30,"female","working","bachelor","normal_low",7,17,0
13,30,"female","working","bachelor","normal_low",8,20,0
13,30,"female","working","bachelor","normal_low",9,11,0
13,30,"female","working","bachelor","normal_low",10,10,0
13,30,"female","working","bachelor","normal_low",11,19,0
13,30,"female","working","bachelor","normal_low",12,15,0
13,30,"female","working","bachelor","normal_low",13,26,0
13,30,"female","working","bachelor","normal_low",14,12,0
13,30,"female","working","bachelor","normal_low",15,6,0
13,30,"female","working","bachelor","normal_low",16,10,0
13,30,"female","working","bachelor","normal_low",17,9,0
13,30,"female","working","bachelor","normal_low",18,7,0
13,30,"female","working","bachelor","normal_low",19,4,0
13,30,"female","working","bachelor","normal_low",20,1,0
13,30,"female","working","bachelor","normal_low",21,11,0
13,30,"female","working","bachelor","normal_low",22,15,0
13,30,"female","working","bachelor","normal_low",23,15,0
13,30,"female","working","bachelor","normal_low",24,4,0
13,30,"female","working","bachelor","normal_low",25,3,0
13,30,"female","working","bachelor","normal_low",26,2,0
13,30,"female","working","bachelor","normal_low",27,5,0
13,30,"female","working","bachelor","normal_low",28,5,0
13,30,"female","working","bachelor","normal_low",29,2,0
13,30,"female","working","bachelor","normal_low",30,1,0
14,55,"female","working","professional","normal_low",1,22,0
14,55,"female","working","professional","normal_low",2,21,0
14,55,"female","working","professional","normal_low",3,26,1
14,55,"female","working","professional","normal_low",4,20,0
14,55,"female","working","professional","normal_low",5,21,0
14,55,"female","working","professional","normal_low",6,26,0
14,55,"female","working","professional","normal_low",7,26,0
14,55,"female","working","professional","normal_low",8,28,0
14,55,"female","working","professional","normal_low",9,18,1
14,55,"female","working","professional","normal_low",10,21,0
14,55,"female","working","professional","normal_low",11,25,0
14,55,"female","working","professional","normal_low",12,30,0
14,55,"female","working","professional","normal_low",13,30,0
14,55,"female","working","professional","normal_low",14,27,1
14,55,"female","working","professional","normal_low",15,26,0
14,55,"female","working","professional","normal_low",16,27,0
14,55,"female","working","professional","normal_low",17,28,0
14,55,"female","working","professional","normal_low",18,28,0
14,55,"female","working","professional","normal_low",19,32,1
14,55,"female","working","professional","normal_low",20,27,1
14,55,"female","working","professional","normal_low",21,20,0
14,55,"female","working","professional","normal_low",22,28,1
14,55,"female","working","professional","normal_low",24,25,0
14,55,"female","working","professional","normal_low",24,26,0
14,55,"female","working","professional","normal_low",25,25,0
14,55,"female","working","professional","normal_low",26,27,0
14,55,"female","working","professional","normal_low",27,29,0
14,55,"female","working","professional","normal_low",28,31,0
14,55,"female","working","professional","normal_low",29,27,0
14,55,"female","working","professional","normal_low",30,22,1
15,40,"male","working","high_school","normal_low",1,20,0
15,40,"male","working","high_school","normal_low",2,29,1
15,40,"male","working","high_school","normal_low",3,21,0
15,40,"male","working","high_school","normal_low",4,26,1
15,40,"male","working","high_school","normal_low",5,31,0
15,40,"male","working","high_school","normal_low",6,17,0
15,40,"male","working","high_school","normal_low",7,23,0
15,40,"male","working","high_school","normal_low",8,21,0
15,40,"male","working","high_school","normal_low",9,18,1
15,40,"male","working","high_school","normal_low",10,29,0
15,40,"male","working","high_school","normal_low",11,21,0
15,40,"male","working","high_school","normal_low",12,21,0
15,40,"male","working","high_school","normal_low",13,23,0
15,40,"male","working","high_school","normal_low",14,27,1
15,40,"male","working","high_school","normal_low",15,24,0
15,40,"male","working","high_school","normal_low",16,14,0
15,40,"male","working","high_school","normal_low",17,23,0
15,40,"male","working","high_school","normal_low",18,22,0
15,40,"male","working","high_school","normal_low",19,23,0
15,40,"male","working","high_school","normal_low",20,22,0
15,40,"male","working","high_school","normal_low",21,21,0
15,40,"male","working","high_school","normal_low",22,17,0
15,40,"male","working","high_school","normal_low",23,23,0
15,40,"male","working","high_school","normal_low",24,26,0
